Вакансия,Зарплата,Тип
"Репетитор по Математике, Русскому и др. Дисциплины",400,Резюме
Мойщица-уборщица,20 000,Вакансии
Слесарь,30 000,Резюме
Автомаляр-кузовщик в грузовой автосервис,Догов,Вакансии
Водитель такси на новые Hyundai и Volkswagen,75 000,Вакансии
"Разнорабочие, подсобники на стройку",1 301,Резюме
Ищу работу флориста.Оформление букетов,1 700,Резюме
Старший кассир/администратор,33 000,Резюме
Супервайзер без опыта,50 000,Вакансии
"Водитель кат. B,C,E",60 000,Резюме
Интернет-маркетолог,30 000,Резюме
Строитель,Зарплата не ук,Резюме
Водитель на транзит 2007г метро Новочеркасская,35 000,Вакансии
Продавец консультант,30 000,Вакансии
Ремонт квартир под ключ,777,Резюме
Менеджер детейлинг-центра,40 000,Вакансии
Водитель такси м.Купчино,60 000,Вакансии
Отделка-электрика,Зарплата не ук,Резюме
"Работа в Excel, Word, Power Point",500,Резюме
Мастер,Зарплата не ук,Резюме
Продавец,45 000,Вакансии
"Продавец консультант,менеджер",Зарплата не ук,Резюме
Продавец уличный,1 500,Вакансии
Водитель такси на авто компании (Оплата ежедневно),85 000,Вакансии
Водитель Е межгород,80 000,Вакансии
Сварщк пнд монтажник наружных сетей,Зарплата не ук,Резюме
Няня,Зарплата не ук,Резюме
Государственный служащий,Зарплата не ук,Резюме
Сборщик мебели,50 000,Вакансии
Водитель газели,100 000,Вакансии
Охранник,35 000,Резюме
Водители,50 000,Вакансии
"Маркетолог, PR менеджер",50 000,Резюме
Электрика гипрок плитка сантехника,60 000,Резюме
Отделочник -универсал,60 000,Резюме
Флорист,30 000,Вакансии
Парикмахер-универсал,Зарплата не ук,Вакансии
Повар - универсал,30 000,Вакансии
"Водитель кат.В,курьер,экспедитор,склад,разное",40 000,Резюме
Водитель такси VW Jetta (м.Ладожская) 1/3,50 000,Вакансии
"Администратор,Оператор пк,Грузчик,строитель внутре",30 000,Резюме
"Сборщик мебели, производство",Зарплата не ук,Резюме
Разнорабочий,Зарплата не ук,Резюме
Расклейщик Распространитель листовок,1,Резюме
Водитель выходного дня,Зарплата не ук,Резюме
"Водитель офисный, персональный, личный",50 000,Резюме
Вендинг менеджер,3 000,Вакансии
