Вакансия,Зарплата,Тип
Водитель,з/п не ук,Резюме
"Ищу ноч/днев см, охрана, грузчик, экспедит, водит",1 800,Резюме
Уборщица,10 000,Вакансии
Администратор отдела рекламы,20 000,Вакансии
"Зам. по ахч, технический специалист",з/п не ук,Резюме
Делопроизводитель,25 000,Резюме
Репетитор по математике,400,Резюме
Сопровождающая Няня,200,Резюме
"Работы по полам(ламинат, линолиум и не только)",20 000,Резюме
"Организатор фестивалей, выставок и ярмарок",30 000,Вакансии
Курьер,8 000,Резюме
Плотник -гипрочник,з/п не ук,Резюме
Официант,20 000,Вакансии
Личный водитель-охранник,60 000,Вакансии
Специалист по Таможенному Оформлению,40 000,Резюме
Продавец консультант. кассир,40 000,Резюме
"Директор, управляющий салоном красоты",40 000,Резюме
Охранник без лицензии в ночь,25 000,Резюме
Бармен,21 000,Вакансии
Подработка,10 000,Резюме
Личный водитель,50 000,Резюме
Мойщица посуды,з/п не ук,Резюме
Продавец-консультант в магазин одежды,30 000,Вакансии
Менеджер по закупкам,33 000,Резюме
Преподаватель обществознания,20 000,Резюме
Администратор сайт/ разработка сайта,100,Резюме
"Администратор, секретарь",30 000,Резюме
Парикмахер универсал (+ администратор ),35 000,Вакансии
"Помощник руководителя, консультант",40 000,Резюме
"Главный бухгалтер. торговля, частичная занятость",10 000,Резюме
Водитель курьер,35 000,Резюме
Продавец-консультант,15 000,Резюме
"Администратор, продавец, кассир, помощница",20 000,Резюме
Продавец-консультант,15 000,Резюме
Ищу работу на стройке,з/п не ук,Резюме
Менеджер,35 000,Резюме
Сборщик корпусной мебели,20 000,Резюме
Администратор,12 000,Вакансии
Водитель Автопогрузчика и Электропогрузчик,40 000,Резюме
Специалист по работе с персоналом. Офис - менеджер,з/п не ук,Резюме
Уборщица,з/п не ук,Вакансии
Менеджер по работе с клиентами,20 000,Вакансии
"Оператор производственной линии, станков и установ",50 000,Резюме
Кладовщик,35 000,Резюме
Эксперт по интернет продажам. Подниму продажи в 4,з/п не ук,Резюме
"Неполный день, на время декрета",з/п не ук,Резюме
Работа вахтой в Санкт-Петербурге,26 000,Вакансии
"Оператор пк, продавец-консультант",10 000,Резюме
Продавец-кассир,30 000,Вакансии
Водитель,з/п не ук,Резюме
Фасовщик (вахта),26 000,Вакансии
Любая подработка,2 000,Резюме
Специалист на полусухую стяжку пола,з/п не ук,Вакансии
Рабочие на производство (Вахта),26 000,Вакансии
"Организатор мероприятий, режиссер",40 000,Резюме
Уборщица в офис,з/п не ук,Резюме
Разнорабочий,36 000,Вакансии
Электрогазосварщик,35 000,Резюме
Бухгалтер,3 000,Резюме
Ассистент отдела мерчендайзинга,25 000,Вакансии
Разнорабочий,18 000,Резюме
"Кровельщик, прораб",60 000,Резюме
Дизайнер,35 000,Резюме
Буровой мастер. машинист буровой установки,70 000,Резюме
Артист,25 000,Резюме
"Нужны мастера строители на ""Мокрый фасад""",70 000,Вакансии
Оператор-упаковщик,30 000,Вакансии
Управляющий-администратор,55 000,Резюме
"Экспедитор, Маркировщик, фасовщик, упаковщик, комп",2 500,Резюме
Администратор,25 000,Резюме
Физический труд. И не только,1 500,Резюме
"Монолитчики (Монтажники, Арматурщики, Каменщики)",70 000,Вакансии
Агент по элитной недвижимости/риэлтор,40 000,Вакансии
Менеджер по продажам,з/п не ук,Резюме
"Мёд. сестра, сиделка",2 000,Резюме
Smm менеджер,з/п не ук,Вакансии
Подсобный рабочий,35 000,Вакансии
