Вакансия,Зарплата,Тип
Инженерной компании требуются разнорабочие,40 000,Вакансии
Требуется портная в ателье по ремонту одежды,40 000,Вакансии
"Преподаватель англ. языка, переводчик",20 000,Резюме
Директор по продажам,35 000,Резюме
Грузчик-сборщик (ст. м. Волковская),30 200,Вакансии
Бухгалтер,з/п не ук,Резюме
"Ищу халтуры, подработки",з/п не ук,Резюме
Электрогазосварщик,з/п не ук,Резюме
Секретарь-делопроизводитель,20 000,Вакансии
Резюме инструктор групповых программы (Тай-бо),500,Резюме
Ищу работу или халтуру,з/п не ук,Резюме
"Автокрановщик, водитель манипулятор, электрик",1 000,Резюме
Продавец в супермаркет (м. Петроградская/Лесная),24 000,Вакансии
Подсобный рабочий,1 100,Вакансии
Грузчик-сборщик (Индустриальный проспект),30 200,Вакансии
Бухгалтер,3 000,Резюме
Любая. без в/п,35 000,Резюме
Водитель категории Е,70 000,Вакансии
Кладовщик-сборщик,40 000,Вакансии
Компьютерный мастер,70 000,Вакансии
Менеджер по продажам камнеобрабатывающей компании,40 000,Вакансии
Работа в subway,18 000,Вакансии
"Визажист, мастер-бровист",40 000,Резюме
Мойщица,з/п не ук,Вакансии
Парикмахер-универсал,35 000,Резюме
Агент по недвижимости аренда/продажа,50 000,Вакансии
Водитель такси,70 000,Вакансии
Мастер маникюра-педикюра,з/п не ук,Резюме
"Продавец-кассир, м. пр. Большевиков/Академическая",23 000,Вакансии
Продавец,з/п не ук,Вакансии
Слесарь-ремонтник,45 000,Резюме
Начинающий специалист,з/п не ук,Резюме
Диспетчер - Логист,40 000,Вакансии
Уборщица в хостел на 2-3 часа в день,6 000,Вакансии
Электромонтер,35 000,Вакансии
Машинист экскаватора,45 000,Вакансии
Подсобный рабочий,1 400,Резюме
Ищу работу в ночную смену,25 000,Резюме
Заправщик азс (Дорога на Турухтанные острова),23 000,Вакансии
Главный бухгалтер в одном лице можно с помошниками,20 000,Резюме
Офисный работник,25 000,Резюме
Оператop по холодному прoзвону,11 000,Резюме
Работник склада,30 000,Резюме
Менеджеp пo пpодажам,25 000,Резюме
Зубной техник - съёмщик,50 000,Вакансии
Кассир на азс Сосновый Бор,25 000,Вакансии
"Продавец-кассир на азк Пискаревский пр, 4",25 000,Вакансии
Продавец-кассир азк наб. реки Пряжки,25 000,Вакансии
"Кассир азк (Липовая аллея, 12)",25 000,Вакансии
Кассир на азс Парнас,25 000,Вакансии
"Кассир азк Объездное шоссе, 15",25 000,Вакансии
Ищу работу,з/п не ук,Резюме
Ищу работу рассматриваю любые вакансии,27 000,Резюме
Подработка,з/п не ук,Резюме
Любая работа,15 000,Резюме
Косметолог-Эстетист,1 000,Резюме
"Электрик, электромонтажник",30 000,Резюме
Не важно,30 000,Резюме
Требуется машенист на экскаватор-погрузчик jsb,250,Вакансии
Диспетче по транспорту на маршруте,25 000,Вакансии
Мастер парикмахер - брадобрей,100 000,Резюме
Психолог-консультант,з/п не ук,Резюме
Администратор салона красоты,22 000,Вакансии
Водитель такси на авто компании,50 000,Вакансии
Ищу работу отделочным,100,Резюме
Требуются маляры,45 000,Вакансии
Требуются Рабочие по благоустройству / бетонщики,45 000,Вакансии
Водитель такси на авто компании,50 000,Вакансии
Ищу работу инженером пто,40 000,Резюме
Телемаркетолог,25 000,Вакансии
Специалист по продаже недвижимости,з/п не ук,Резюме
Повар универсал,35 000,Вакансии
Менеджер по работе с клиентами (тех. поддержка),60 000,Вакансии
Продавец-кассир,28 000,Вакансии
"Автомаляр, кузовщик",50 000,Вакансии
Без опыта,20 000,Резюме
Продавец-консультант,20 000,Вакансии
Специалисты без опыта,35 000,Вакансии
Грузчик в Малое Карлино,20 000,Вакансии
Подработка,з/п не ук,Резюме
Водитель курьер м. Академическая,40 000,Вакансии
Продавец консультант,40 000,Вакансии
Инженер пто,35 000,Резюме
Архитектор,40 000,Резюме
Сверловщик,35 000,Вакансии
Водитель,30 000,Резюме
Шинмонтажник в сеть мастерских,30 000,Вакансии
Ищу работу на дому,з/п не ук,Резюме
Администратор,35 000,Резюме
Специалист по работе с юридическими лицами,35 000,Резюме
Ищу подработку в Колпино. Мерчендайзер,з/п не ук,Резюме
Требуется бухгалтер в ед. лице,40 000,Вакансии
Слесарь-зачистник сварочных швов,35 000,Вакансии
Не продажи,30 000,Резюме
Расклейщики,15 000,Вакансии
Водитель такси Uber,120 000,Вакансии
"Продавец- консультант трк ""Мега Дыбенко""",8 000,Вакансии
Диспетчер-логист,85 000,Вакансии
Ищy yдaлeннyю paбoтy пo вxoдящим звoнкaм,з/п не ук,Резюме
Подработка,20 000,Вакансии
Требуется мастер отк,40 000,Вакансии
Швея,35 000,Вакансии
"Web дизайн, сайты",2 000,Резюме
Требуются сборщики металлоконструкций,55 000,Вакансии
Секретарь,27 000,Вакансии
Марчендайзер,з/п не ук,Резюме
Студент. Ищу подработку,з/п не ук,Резюме
Хостес в бар,35 000,Вакансии
Работа на квоте агентом в Санкт-Петербурге,90 000,Вакансии
Водитель кат в с,30 000,Резюме
Суши-Повар,з/п не ук,Вакансии
"Подмастерье, помошник станочника",20 000,Резюме
Требуется курьер для развозки документов,6 500,Вакансии
Охранник,61 000,Вакансии
